Tempo (s);Soma de CPU (m);Média de CPU (m);DesvPad de CPU (m);Média de CPU;DesvPad de CPU;Soma de MEMORY (bytes);Média de MEMORY (bytes);DesvPad de MEMORY (bytes);Média de MEMORY;DesvPad de MEMORY
280;166715;314.5566038;931.1829;8.02;4.49;953856;1799.728302;3401.69091;33.26;8.39
285;182030;343.4528302;1070.267114;8.42;4.92;961506;1814.162264;3471.785976;33.41;8.44
290;182030;343.4528302;1070.267114;8.42;4.92;961506;1814.162264;3471.785976;33.41;8.44
295;189754;358.0264151;1129.117865;8.67;5.44;964932;1820.626415;3500.047864;33.48;8.47
300;189754;358.0264151;1129.117865;8.67;5.44;964932;1820.626415;3500.047864;33.48;8.47
305;198424;374.3849057;1241.181413;8.85;5.80;966916;1824.369811;3514.684302;33.54;8.49
310;194350;366.6981132;1188.21827;8.75;5.26;978305;1845.858491;3620.978143;33.69;8.57
315;200713;378.7037736;1264.576977;8.88;5.52;981008;1850.958491;3640.155557;33.76;8.61
320;208792;393.9471698;1348.788894;9.04;5.83;982208;1853.222642;3647.395711;33.79;8.61
325;208792;393.9471698;1348.788894;9.04;5.83;982208;1853.222642;3647.395711;33.79;8.61
330;208792;393.9471698;1348.788894;9.04;5.83;982208;1853.222642;3647.395711;33.79;8.61
335;234717;442.8622642;1682.655349;9.58;6.98;990120;1868.150943;3695.805283;34.03;8.69
340;261896;494.1433962;2005.190426;10.27;8.15;996464;1880.120755;3741.864402;34.21;8.77
345;274305;517.5566038;2141.661155;10.49;8.62;999477;1885.80566;3759.469161;34.30;8.80
350;286773;541.0811321;2293.237387;10.64;8.98;1002109;1890.771698;3779.101316;34.37;8.82
355;292756;552.3698113;2368.950758;10.68;9.27;1002772;1892.022642;3789.129198;34.36;8.82
360;292756;552.3698113;2368.950758;10.68;9.27;1002772;1892.022642;3789.129198;34.36;8.82
365;292756;552.3698113;2368.950758;10.68;9.27;1002772;1892.022642;3789.129198;34.36;8.82
370;300518;567.0150943;2423.456701;10.84;9.44;1005268;1896.732075;3804.116384;34.44;8.85
375;308482;582.0415094;2535.439865;10.93;9.87;1006329;1898.733962;3812.899254;34.46;8.85
380;320144;604.045283;2664.497421;11.12;10.36;1007774;1901.460377;3824.604896;34.50;8.86
385;321224;606.0830189;2680.780299;11.12;10.44;1007200;1900.377358;3825.789452;34.47;8.86
390;320075;603.9150943;2663.614676;11.12;10.37;1007107;1900.201887;3825.986319;34.47;8.86
395;313964;592.3849057;2625.539378;10.80;10.23;1006771;1899.567925;3828.587599;34.44;8.86
400;313387;591.2962264;2614.204422;10.80;10.18;1006714;1899.460377;3829.507789;34.44;8.87
405;313387;591.2962264;2614.204422;10.80;10.18;1006714;1899.460377;3829.507789;34.44;8.87
410;310675;586.1792453;2582.365803;10.76;10.07;1006727;1899.484906;3829.504049;34.44;8.87
415;308946;582.9169811;2556.292875;10.73;9.96;1006544;1899.139623;3829.387322;34.42;8.87
420;313468;591.4490566;2591.7693;10.90;10.29;1006993;1899.986792;3834.955514;34.43;8.85
425;315315;594.9339623;2606.343848;10.92;10.33;1007043;1900.081132;3835.114513;34.43;8.85
430;315315;594.9339623;2606.343848;10.92;10.33;1007043;1900.081132;3835.114513;34.43;8.85
435;315315;594.9339623;2606.343848;10.92;10.33;1007043;1900.081132;3835.114513;34.43;8.85
440;317861;599.7377358;2635.05004;10.95;10.44;1006970;1899.943396;3835.071521;34.43;8.86
445;317861;599.7377358;2635.05004;10.95;10.44;1006970;1899.943396;3835.071521;34.43;8.86
450;315732;595.7207547;2607.803039;10.94;10.34;1007834;1901.573585;3836.433418;34.47;8.86
455;315732;595.7207547;2607.803039;10.94;10.34;1007834;1901.573585;3836.433418;34.47;8.86
460;314142;592.7207547;2585.901752;10.92;10.25;1008160;1902.188679;3837.565764;34.47;8.86
465;314451;593.3037736;2582.90363;10.98;10.22;1009227;1904.201887;3839.723439;34.53;8.86
470;313800;592.0754717;2570.288836;10.98;10.16;1009527;1904.767925;3840.341034;34.54;8.87
475;311981;588.6433962;2566.973291;10.88;9.95;1009879;1905.432075;3841.550358;34.55;8.87
480;311981;588.6433962;2566.973291;10.88;9.95;1009879;1905.432075;3841.550358;34.55;8.87
485;311981;588.6433962;2566.973291;10.88;9.95;1009879;1905.432075;3841.550358;34.55;8.87
490;311981;588.6433962;2566.973291;10.88;9.95;1009879;1905.432075;3841.550358;34.55;8.87
495;310862;586.5320755;2549.96797;10.89;9.88;1010657;1906.9;3843.177979;34.58;8.86
500;310862;586.5320755;2549.96797;10.89;9.88;1010657;1906.9;3843.177979;34.58;8.86
