Rótulos de Linha;cu Média de CPU(milicores);du Média de CPU(milicores);ru Média de CPU(milicores);cu DesvPad de CPU(milicores);du DesvPad de CPU(milicores);ru DesvPad de CPU(milicores);cu Média de MEMORY(Mi);du Média de MEMORY(Mi);ru Média de MEMORY(Mi);cu DesvPad de MEMORY(Mi);du DesvPad de MEMORY(Mi);ru DesvPad de MEMORY(Mi);Total Média de CPU(milicores);Total DesvPad de CPU(milicores);Total Média de MEMORY(Mi);Total DesvPad de MEMORY(Mi)
670;0.216326531;307.2510204;56.62040816;0.412160222;146.8001586;19.21290657;120.7163265;421.1714286;80.69387755;0.494487791;18.81356166;12.4136347;121.362585;158.480905;207.5272109;152.5575618
675;0.216326531;306.7836735;56.73265306;0.412160222;146.5776947;19.39008546;120.7163265;421.1714286;80.69387755;0.494487791;18.81356166;12.4136347;121.2442177;158.2213883;207.5272109;152.5575618
680;0.191836735;306.9428571;56.75510204;0.394147749;146.6514893;19.40308686;120.7163265;421.1714286;80.68979592;0.494487791;18.81356166;12.41270945;121.2965986;158.310121;207.5258503;152.5586687
685;0.169387755;306.6877551;57.00408163;0.375477382;146.6161971;19.38027542;120.7163265;421.2040816;80.85714286;0.494487791;18.83061901;11.87735554;121.2870748;158.1704513;207.592517;152.5140374
690;0.157142857;306.2979592;56.98163265;0.364307338;146.4357205;19.34958953;120.7163265;421.2040816;80.85918367;0.494487791;18.83061901;11.87815472;121.1455782;157.9672714;207.5931973;152.5134924
695;0.157142857;306.2979592;56.98163265;0.364307338;146.4357205;19.34958953;120.7163265;421.2040816;80.85918367;0.494487791;18.83061901;11.87815472;121.1455782;157.9672714;207.5931973;152.5134924
70;295.3018868;310.0909091;164.3444444;241.6135332;236.7312332;236.0111095;8.58490566;8.690909091;3.166666667;2.865134997;2.595385701;2.009752757;216.2777778;245.7505022;5.21875;3.509677388
700;0.114285714;304.9061224;57.09387755;0.318483112;146.704687;19.28420959;120.7163265;421.2040816;80.84489796;0.494487791;18.83061901;11.88907596;120.7047619;157.4999884;207.5884354;152.5177355
705;0.114285714;304.9061224;57.09387755;0.318483112;146.704687;19.28420959;120.7163265;421.2040816;80.84489796;0.494487791;18.83061901;11.88907596;120.7047619;157.4999884;207.5884354;152.5177355
710;0.083673469;301.9163265;57.11632653;0.277180472;149.0963892;19.36498904;120.7163265;421.2040816;80.83673469;0.494487791;18.83061901;11.91542613;119.7054422;157.095106;207.5857143;152.5206828
