Node Number;Resource Type;0;30;60;90;120;180;210;240;270;300;360;420;480;540;600;Total_Geral;Media;Pico;Desvio_Padrao;Estabilizacao
Node 9;MEM;43.00;43.00;43.00;43.00;43.00;43.00;43.00;44.00;44.00;44.00;44.00;45.00;45.00;45.00;44.70 ;44.00;44.00;44.70 ;1.00;44.70 
Node 10;MEM;33.00;33.00;33.00;33.00;33.00;34.00;34.00;34.00;34.00;34.00;35.00;35.00;35.00;35.00;35.00 ;34.00;34.00;35.00 ;1.00;35.00 
Node 11;MEM;35.00;35.00;35.00;35.00;35.00;35.00;35.00;36.00;36.00;36.00;37.00;37.00;37.00;37.00;37.00 ;36.00;36.00;37.00 ;1.00;37.00 
Node 12;MEM;44.00;44.00;44.00;44.00;44.00;45.00;45.00;45.00;45.00;46.00;46.00;46.00;46.00;46.00;46.40 ;45.00;45.00;46.40 ;1.00;46.40 
Node 13;MEM;43.00;43.00;43.00;43.00;43.00;43.00;43.00;43.00;44.00;45.00;45.00;45.00;45.00;45.00;45.00 ;44.00;44.00;45.00 ;1.00;45.00 
Node 14;MEM;25.00;25.00;25.00;25.00;25.00;25.00;25.00;25.00;25.00;26.00;26.00;26.00;26.00;26.00;26.40 ;26.00;26.00;26.40 ;1.00;26.40 
Node 15;MEM;24.00;24.00;24.00;24.00;24.00;24.00;24.00;25.00;25.00;25.00;26.00;26.00;26.00;26.00;25.50 ;24.00;24.00;;1.00;25.50 
Node 16;MEM;30.00;30.00;30.00;30.00;30.00;30.00;30.00;30.00;30.00;31.00;31.00;31.00;31.00;31.00;31.60 ;31.00;31.00;31.60 ;1.00;31.60 
Node 17;MEM;21.00;21.00;21.00;21.00;21.00;21.00;21.00;21.00;21.00;22.00;23.00;23.00;23.00;23.00;23.20 ;22.00;22.00;23.20 ;1.00;23.20 
Node 18;MEM;26.00;26.00;26.00;26.00;26.00;26.00;26.00;26.00;27.00;27.00;27.00;27.00;27.00;27.00;27.50 ;27.00;27.00;27.50 ;1.00;27.50 
Node 19;MEM;26.00;26.00;26.00;26.00;26.00;26.00;26.00;26.00;26.00;27.00;27.00;27.00;27.00;27.00;27.10 ;26.00;26.00;27.10 ;1.00;27.10 
Node 20;MEM;26.00;26.00;26.00;26.00;26.00;27.00;27.00;27.00;27.00;28.00;28.00;28.00;28.00;28.00;28.40 ;27.00;27.00;28.40 ;1.00;28.40 
Node 21;MEM;27.00;27.00;27.00;27.00;27.00;28.00;28.00;28.00;28.00;29.00;29.00;29.00;29.00;29.00;29.40 ;28.00;28.00;29.40 ;1.00;29.40 
Node 22;MEM;27.00;27.00;27.00;27.00;27.00;27.00;27.00;27.00;27.00;28.00;29.00;29.00;29.00;29.00;28.80 ;28.00;28.00;28.80 ;1.00;28.80 
Node 23;MEM;28.00;28.00;28.00;28.00;28.00;28.00;28.00;28.00;28.00;29.00;30.00;30.00;30.00;30.00;30.00 ;29.00;29.00;30.00 ;1.00;30.00 
Node 24;MEM;25.00;25.00;25.00;25.00;25.00;25.00;25.00;26.00;26.00;26.00;27.00;27.00;27.00;27.00;27.00 ;26.00;26.00;27.00 ;1.00;27.00 
Node 25;MEM;29.00;29.00;29.00;29.00;29.00;29.00;29.00;29.00;29.00;30.00;30.00;30.00;30.00;30.00;30.40 ;29.00;29.00;30.40 ;1.00;30.40 
